"","question_id","time_stamp","time_spent_min","misc_1a","misc_1b","misc_1c","misc_2a","misc_2b","misc_3a","misc_3b","misc_3c","misc_4a","misc_4b","misc_5a","misc_6a"
"1",1,2022-11-21,24.2,37.2,65.2,16.3,51.4,40.2,45.4,52.7,73.4,46.4,8.8,85.9,50.2
"110",1,2022-11-21,24.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"1.1",1,2022-11-21,24.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2",2,2022-11-22,26,54.4,57.3,66.1,24.2,52.3,84.6,39,42.6,78.9,73.6,63.1,54.3
"3",3,2022-11-24,2.3,55.7,12.3,87,65,29.2,39.8,67.8,20.4,64.2,49.8,34.8,40.1
"310",3,2022-11-24,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3.1",3,2022-11-24,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4",4,2022-11-27,9.9,56.3,35,50.5,51,52.2,49.5,49.2,59.5,30.3,63.5,67.4,74
"5",5,2022-11-30,23.7,46,68.8,39,43.8,39.5,61.4,24.5,50.6,62.6,34.6,73.4,45.5
"6",6,2022-12-02,2.6,55.5,49.3,73.1,57,51.5,47.3,35,52,36.7,65.7,71.5,45.1
"7",7,2022-12-06,21.1,64.8,44.7,59.4,51.3,35.6,45.5,70.6,74.6,75.1,48.5,54.8,56.6
"8",8,2022-12-07,4,18,16.3,24.6,53.3,39.3,40.2,52.4,6.7,54.4,96.3,70,18.2
"9",9,2022-12-11,16,73.4,44,34.2,57.9,65,67,29.5,43.6,51.3,64.8,46,46
"10",10,2022-12-12,16.3,44.6,28.1,29,76.4,56.1,40.2,51.4,73.5,60.7,56.7,50.4,91.4
"101",10,2022-12-12,16.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10.1",10,2022-12-12,16.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"11",11,2022-12-13,8.7,40.6,43,74.5,35.8,62.9,28.8,51.3,18.8,62.9,34.2,51.4,34.8
"12",12,2022-12-14,5.8,7.5,40.5,46.5,63.9,14.1,59.1,68.5,60.2,42.7,65,25.5,59.9
"13",13,2022-12-15,3.7,55.2,25.2,19.8,37,21.4,40.1,50.4,30.1,36.7,52,82.3,69.8
"14",14,2022-12-16,15.6,61.5,72.2,45.5,31.1,84.7,22.6,52,38,69.1,57.7,39.8,46.2
"15",15,2022-12-17,2.5,60.8,28.6,50.6,36.3,26.9,1.9,22.7,28.7,73.7,37.2,44.3,59.4
"16",16,2022-12-19,14.1,15.5,38.4,92.4,82.7,45.8,67.9,17.7,61.8,63.6,66.4,24.4,38.4
"17",17,2022-12-21,13,42,43.6,69.2,40.8,43.5,67,66.1,25.7,51.2,41.8,52.5,23.9
"18",18,2022-12-23,10.1,54.7,45.6,46.4,57.8,14.3,21.8,23.7,57.5,96.3,15.6,74.6,69.6
"19",19,2022-12-26,8.9,57.4,28.9,73.5,38.2,64.8,46.6,70.7,45.2,79.9,29.7,30.5,30.6
"20",20,2022-12-27,12.4,37.9,58.9,42.6,49,46.3,35.8,25.1,56.4,41.1,22.8,34.4,29.4
"21",21,2022-12-28,12.4,29.7,35.8,76.2,46.9,30.4,60.4,68.2,64.9,30.2,29.2,40.1,55.1
"22",22,2022-12-30,19.2,16.5,47.5,61.2,58.5,48.9,77.4,32.7,56.6,68,76.6,62.3,69.7
"221",22,2022-12-30,19.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"22.1",22,2022-12-30,19.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"23",23,2023-01-01,24.9,40.8,35,64,59.7,27.4,65.5,65.8,56.3,32.6,49.3,20.3,11
"24",24,2023-01-04,19,72.7,40.4,24.2,39.4,56.4,51,38.6,34.2,45.3,34.3,53.9,89
"25",25,2023-01-07,26.7,62.4,51.7,37.4,93.7,30,10.1,43.4,32.6,13.4,42.8,28.5,58.7
"26",26,2023-01-09,22.9,54.2,37.4,54.5,52.3,38.6,32,26.4,61.1,28.1,33.8,60.2,61.4
"27",27,2023-01-19,5.6,52.8,50.1,65.2,53.5,55,35.3,59.7,51.4,42.6,74.3,53.7,6.4
"28",28,2023-01-20,9.8,57.3,57.3,47.3,73,54.9,46.9,37.6,30.8,58.5,64.2,7.2,64.7
"29",29,2023-01-21,25.3,68.5,34.7,45.9,68.1,29.8,50.8,67.4,32.2,50.4,38.5,71.5,17.1
"30",30,2023-01-22,2.9,20.6,38.9,32.3,79,39.1,37.9,90.2,62.8,78.7,49.8,16.3,48.4
"31",31,2023-01-23,2.3,41,48.3,63.4,28.1,41.4,65,56.9,85.1,71,69.1,92.4,31.4
"32",32,2023-01-24,16.7,58.7,32.5,48.2,38.1,33.2,58.6,29.6,44.1,32.6,46.3,59.4,61.3
"33",33,2023-01-26,15.3,45.6,50,37.8,23.4,30.1,47.3,29.1,26.3,34,58.5,39.1,59.6
"34",34,2023-01-27,23.7,62.3,22.7,41.3,58.4,45.6,46.3,40,25,34,50.1,68.1,69
"35",35,2023-01-28,22.5,26.9,68.9,41.2,16.5,67.8,30.9,72.8,36.3,46.9,64.4,40.6,46.9
"36",36,2023-01-29,21.2,48.6,80.1,15.5,64.8,62,85.4,23.9,44.3,53.9,96,23.2,71.5
"37",37,2023-02-01,10.7,37.3,66.3,66.9,74.9,39.8,29.4,75.2,25.9,59,58,26.2,34.5
"38",38,2023-02-07,29.8,75.7,47.6,28,22,41.7,64.7,48.9,36.5,47.9,60.2,38.3,60.9
"39",39,2023-02-08,29.7,63.4,60.2,41.6,27.5,46.1,36,81.3,42.2,49.7,51.1,15.3,55.1
"40",40,2023-02-09,3.4,67.3,11.6,53.6,42.9,57.1,3.7,41.2,49.4,62.3,32.7,79.3,11.4
"41",41,2023-02-12,10.1,25.6,83.4,28.3,16.4,40.5,43.9,98.3,55.3,42.1,37.9,59.8,24.2
"42",42,2023-02-13,18.7,74.8,63.3,41.6,15.8,27.2,40.3,30.1,37.3,59.9,51.1,35.1,22.2
"43",43,2023-02-16,7.8,50.7,73.1,83.5,43.6,51,61.3,19.8,40.9,53.2,32,20.8,9.8
"44",44,2023-02-18,6.6,63.5,52.2,32.6,61.9,33.6,65,56.9,56.4,73.8,89.6,44.5,89.3
"45",45,2023-02-19,4.9,0.6,4.6,76.6,67.4,63.2,31.4,51.1,69.1,0.3,28.8,16,71.2
"451",45,2023-02-19,4.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"45.1",45,2023-02-19,4.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"46",46,2023-02-21,8.5,64.6,48.7,63.7,22.8,59.6,52.5,5.2,59.6,28.1,29.3,39.9,58.7
"47",47,2023-02-23,2.9,46,78.9,75.6,17.2,17.4,29.9,23.2,56.1,29.3,84.4,44.2,62.7
"48",48,2023-02-24,17.3,22.9,65.3,34.2,36.6,78.2,43,30.9,85.9,78.5,80.4,47.4,27.8
"49",49,2023-02-26,3.9,62.2,61.2,32.7,75.7,50.7,57,45.5,84.1,57.8,66.2,78.3,18
"50",50,2023-02-28,2.3,73,51.4,79.2,35.4,35.1,74.2,30.7,64.6,25.1,44.5,63,64.1
"501",50,2023-02-28,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50.1",50,2023-02-28,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
