question_id,time_stamp,time_spent_min,misc_1a,misc_1b,misc_1c,misc_2a,misc_2b,misc_3a,misc_3b,misc_3c,misc_4a,misc_4b,misc_5a,misc_6a,seq,student_id
1,11/26/22,8.3,12.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
2,11/27/22,3.7,-1,59.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,
3,11/28/22,19.8,-1,-1,46.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,
3,11/28/22,19.8,-1,-1,77.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,
4,11/30/22,14.5,47.6,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,
5,12/2/22,17.2,44.3,81.8,64.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,
6,12/6/22,16.4,-1,-1,-1,39.8,-1,-1,-1,-1,-1,-1,-1,-1,7,
7,12/7/22,11,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,8,
8,12/8/22,12.1,-1,-1,-1,7.6,27.1,-1,-1,-1,-1,-1,-1,-1,9,
8,12/8/22,12.1,-1,-1,-1,81.6,84.3,-1,-1,-1,-1,-1,-1,-1,10,
9,12/11/22,8.7,-1,-1,-1,-1,-1,31.4,-1,-1,-1,-1,-1,-1,11,
10,12/12/22,15.4,-1,-1,-1,-1,-1,-1,35.8,-1,-1,-1,-1,-1,12,
11,12/13/22,14.1,-1,-1,-1,-1,-1,-1,-1,54.2,-1,-1,-1,-1,13,
12,12/15/22,19.2,-1,-1,-1,-1,-1,52.3,36.2,-1,-1,-1,-1,-1,14,
13,12/20/22,14.3,-1,-1,-1,-1,-1,48.8,51.3,63,-1,-1,-1,-1,15,
14,12/24/22,8.4,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,16,
15,12/28/22,10.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,91.7,-1,-1,17,
16,12/30/22,5.3,-1,-1,-1,-1,-1,-1,-1,-1,63.7,50.7,-1,-1,18,
16,12/30/22,5.3,-1,-1,-1,-1,-1,-1,-1,-1,68.4,84.7,-1,-1,19,
17,1/1/23,14.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,-1,20,
18,1/3/23,16.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42.9,21,
18,1/3/23,16.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.3,22,
19,1/4/23,3.5,38.4,-1,-1,27.8,-1,-1,-1,-1,-1,-1,-1,-1,23,
20,1/6/23,12,34.9,92.1,-1,76.2,-1,-1,-1,-1,-1,-1,-1,-1,24,
21,1/7/23,5.5,44.3,52.3,-1,24.4,40.8,-1,-1,-1,-1,-1,-1,-1,25,
22,1/9/23,19.4,58.8,56.1,52.3,59.7,55.5,26,90.5,83,63.1,41.2,37.1,32.5,26,
23,1/12/23,8.6,43.5,76.1,55.1,45.9,51,36.1,23,39.1,60.7,35.4,70.2,71.2,27,
24,1/15/23,12.3,62,20.1,45.8,41.3,70.2,50.4,48.7,80.1,50.4,94.9,43.3,27.2,28,
25,1/17/23,2,32.5,65.4,34.1,93.1,43.9,3.5,46.9,43.6,29.2,81.6,16.6,70.3,29,
26,1/18/23,5,46.4,42.7,49.6,27.5,51.7,58.3,40.6,15,55.6,77,24.4,27.6,30,
27,1/19/23,18.5,32.6,65,40.6,55.5,40.6,51.2,39.3,45.2,39.5,74.9,48,74.6,31,
28,1/22/23,9.8,76.1,65.4,36.3,60.5,58,55.6,24.5,56.8,66.8,64,40.2,56.3,32,
28,1/22/23,9.8,77.9,77.2,73.8,69.2,82,71.4,80.5,84.9,86.9,67.4,61.9,81.9,33,
29,1/26/23,7.2,68.4,79.9,44.3,65.5,37.9,71,39.6,49.9,34.2,74.2,78.8,64.1,34,
29,1/26/23,7.2,87.8,68.2,76.7,80.2,70.9,95,73.5,73.2,95.5,80.4,87.5,75.5,35,
30,1/28/23,9.9,83.6,61.5,56.6,33.6,53.1,35.7,42.6,55,19.5,35.1,59.1,47.4,36,
30,1/28/23,9.9,93.3,85.4,58.4,91.6,90.3,83.9,82.7,91.7,64.4,56.9,77.3,76,37,
