question_id,time_stamp,time_spent_min,misc_1a,misc_1b,misc_1c,misc_2a,misc_2b,misc_3a,misc_3b,misc_3c,misc_4a,misc_4b,misc_5a,misc_6a,seq
1,11/24/22,13.3,73.7,59.1,31.1,50.6,38.7,39.5,71.7,54,33.3,29.4,65.6,32.5,1
2,11/25/22,11.9,65.5,15.2,50.8,63.9,70.3,16.7,40.1,64.8,35.2,60.9,67.7,77.3,2
3,11/26/22,13.3,58,36.9,62.9,24.4,76.1,26.3,3.8,70.2,33,31.2,65.1,40.3,3
3,11/26/22,13.3,86.3,77.3,83.9,83.3,77.7,68.8,72.1,89.1,65,71.4,93.6,71.9,4
4,11/27/22,13,37.9,95.2,60.2,67.7,39.5,46.8,74,42.5,29.8,43.2,35.7,57.2,5
5,11/30/22,7.3,49.3,40.1,74.5,29.6,22.3,29.2,38.7,61.2,16.6,35.6,61.1,75.4,6
6,12/1/22,9.4,63.1,43,37.6,54.3,68.8,58.5,58.5,72.7,39,30.6,64.3,61.8,7
6,12/1/22,9.4,80.5,82,93.4,89.9,80.2,78.5,82.9,76.7,92.2,72.7,93.9,72.3,8
7,12/2/22,9.9,34.6,33.9,41.7,54.5,85.8,58.1,75.5,68.2,41.6,66.8,37.9,91.5,9
8,12/3/22,11,89.8,37.7,76.1,22.5,60.7,50.6,31.3,69.4,36.6,47.9,72.3,48.9,10
8,12/3/22,11,75.4,73.8,79.8,79,75.3,57.1,68,79,95.3,71.3,83.2,83,11
9,12/4/22,7.7,86.3,24.2,15.5,67.2,54.7,60.6,44.9,82.1,31.2,39.2,65.8,56.1,12
10,12/5/22,7.1,23.2,66.8,7,32.9,42,57.5,64.9,66,20.3,77.3,53.5,60.6,13
10,12/5/22,7.1,83,85.5,68.9,80.2,80.1,77.4,94.3,66,79.9,87.4,88.9,74.5,14
11,12/8/22,6.1,54.3,55.6,69.1,25.2,66.2,31.5,81.6,40.1,42,56.5,41.1,49.4,15
12,12/9/22,6.5,44.2,66.2,81.7,56,47,65.2,76.9,59.3,82.7,47.1,36.4,69.2,16
13,12/11/22,10.9,65.7,65,27,47.6,41.3,69.5,64.1,32.4,22.8,57.2,40.8,59.2,17
13,12/11/22,10.9,84.5,84.3,90.2,85.7,82.1,82.1,72.6,83.9,79.7,65.6,84,93.4,18
14,12/12/22,13.3,48.1,48.7,15.7,32.4,71.6,19.3,49.3,49.1,84.6,67.3,42.2,64.7,19
15,12/15/22,7.7,76.1,63.4,10.1,5.7,23.6,65.5,74.7,58.9,54.8,77.8,54,2.2,20
16,12/16/22,8.2,44.3,56.5,57.7,32.6,83,45.9,85,58.5,61.1,43.5,61.3,45.4,21
16,12/16/22,8.2,82.7,69.4,86.8,97,65.5,80.8,87.1,91.6,84.7,64.3,80.9,63.8,22
17,12/19/22,18.4,51.2,67.4,37.4,12.4,35.9,25.2,52.5,61.9,31.3,84.5,2.4,47.1,23
18,12/21/22,12.4,37.3,67.2,43.7,75.3,71,86.9,44.5,29.6,60.6,75.6,58.4,62.2,24
19,12/22/22,11.6,82.3,35.1,57,47.9,46.1,49.6,72.9,82,37.5,62.8,60,90.7,25
20,12/24/22,19,33.6,82.5,29.1,68.3,67.1,21.8,61.2,36.7,99.2,67.6,34.1,42.7,26
21,12/27/22,5.2,24,59.4,42,26.2,69.5,43.1,43.6,30.7,36.9,59.3,61.7,63.5,27
22,12/28/22,13.2,53,95.5,90.4,53.3,48.4,26,49.3,57.2,28.2,27.1,8.2,33.4,28
23,12/29/22,16.2,37.2,30.9,51.7,56.5,60.8,41.4,68.2,70.2,66.3,53.5,61.8,67.4,29
23,12/29/22,16.2,87.6,75.5,92.7,75.1,76.5,76,76.7,81.4,95.1,74.9,82.2,68.1,30
24,12/31/22,18,71.2,41.8,43.9,44.3,40.3,77.3,56.2,24.5,34.8,45,51.7,36.9,31
25,1/1/23,12.7,50,64.3,41.3,27.7,23.2,27.6,37.2,67.6,39.5,39,77.9,73.7,32
26,1/3/23,12.6,23.6,93.1,80,86.4,57.6,40.5,23.7,58.6,13,50.8,27.9,57.2,33
27,1/5/23,6.7,70.8,61,81.3,62.9,10.5,4.2,46,38.1,10.5,40,35.3,49.1,34
28,1/7/23,12.9,43.1,68.9,71.6,41,31.1,37.9,51.5,76.2,58.8,32.2,45,87.4,35
29,1/11/23,3,47.6,68.2,44.2,49.8,90.6,44.3,70.7,16.7,43.5,63.3,27.2,85.3,36
30,1/16/23,17.4,51.8,67.8,54.3,39.4,28.8,41.9,77.7,49.6,15.1,65.3,61.8,47.8,37
31,1/17/23,8.3,42.6,71,61.2,61.3,42.1,19.1,58.1,75.6,19.3,68.5,58.8,32.7,38
32,1/19/23,7,20.7,44.4,19.9,77.2,57.4,90.5,80.6,24.4,83.9,60.5,44.2,23.4,39
33,1/25/23,13.3,68.9,64.5,72.2,35.9,42.3,72.1,44.4,35,8.2,86.9,56,20.5,40
34,1/27/23,17.6,51,27.5,56.2,68.1,17.4,65.6,37.3,52.8,34.1,87.6,10.6,56.7,41
34,1/27/23,17.6,85.7,93.4,58.1,72.7,80.7,91.3,83.6,97.1,64.3,77.4,78.4,76.3,42
35,1/28/23,5.6,57.9,26.1,30,54,55.6,94.9,48.8,54.7,71.8,81.6,34.6,50.6,43
36,1/29/23,9.1,76.3,37.2,84.6,93.9,17.7,65.6,56.7,43.8,55.7,68.4,58.9,95,44
37,1/30/23,7.2,38.9,42.5,73.2,12,57.4,8.8,51.2,66.1,18,75.2,36.9,93.1,45
38,2/2/23,1.4,47.7,44,29.3,18.7,90.4,63.6,44.3,13.1,76.8,39.8,41.4,83.3,46
39,2/5/23,8.3,37.2,31.8,73.2,49.5,22.9,13.1,78.4,68.2,50,44.7,73.4,72.1,47
40,2/9/23,2.1,54.9,35.1,46.3,52,50,67.5,83.2,55.4,39.9,22.5,58.3,48,48
40,2/9/23,2.1,72.3,66.2,92.9,90.1,82.4,71.6,85.4,84.9,66.7,75.3,81.3,61.2,49
41,2/10/23,1.1,39.9,69.3,52.3,70.6,45.4,43,40.3,43.5,61.4,85.2,67.6,66.2,50
41,2/10/23,1.1,79.2,75.1,81.7,91.5,69.1,77.7,87.4,74.3,71.4,76,80.2,98.1,51
42,2/14/23,4.3,67.9,87.2,51.1,48.2,69,39.1,68.7,31.1,71.9,33.6,64,34.4,52
43,2/18/23,15.2,67.4,18.8,44.6,35.7,11.9,83.4,51.6,77.5,25.8,43.6,73.4,29.7,53
44,2/19/23,11.1,26.7,74,55.7,52.2,49.1,34.3,43.4,37.9,60,59.1,23.9,43,54
45,2/20/23,8.1,37.9,9.4,65.2,75.8,59,52.9,71.5,49.1,23.5,50.2,22.1,25,55
46,2/22/23,9.3,60.5,30.9,30.8,21.1,37.4,44.3,61.1,95.4,41.5,51.3,31.2,73.5,56
47,2/23/23,9.7,89.3,40.2,50.4,49.5,47.7,76.7,57,54.3,45,62.7,56.7,75.4,57
48,2/24/23,14.8,47.3,59.5,65.8,52.2,40,60.6,58.1,30.3,47,30,50.2,43.5,58
49,2/28/23,5.1,55.7,48.8,68.5,59.9,33,37,93.6,89.8,38.7,43.9,17.2,31.6,59
50,3/1/23,7,78.1,20.8,47.7,57,10.8,40.6,52.7,57.1,68.9,64.9,82.4,69.2,60
