"","question_id","time_stamp","time_spent_min","misc_1a","misc_1b","misc_1c","misc_2a","misc_2b","misc_3a","misc_3b","misc_3c","misc_4a","misc_4b","misc_5a","misc_6a"
"1",1,2022-11-21,17.4,33.5,87.5,21.6,57.2,45.3,47.9,64.9,52.7,61,74.1,49,69
"2",2,2022-11-22,13.5,86.7,97.9,43.7,41.8,71.4,55.1,47,47.5,81.8,33.5,36.9,69
"3",3,2022-11-24,23,48.8,60.4,82.3,48.3,53.8,79.3,96.6,31.5,48.9,91,19.3,56.9
"4",4,2022-11-27,6.8,26.6,30.1,51.6,32.2,85,40.9,40.4,39.7,77.2,29.9,57.5,67.9
"5",5,2022-11-28,2.6,84.7,50.1,31.3,46.8,44.4,64.1,40.7,72.8,68.8,61.9,64.1,67
"6",6,2022-11-29,18.3,24.3,61.3,30.1,66.2,20.8,69,59.4,55.5,37.1,68.6,71.6,57.8
"61",6,2022-11-29,18.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"6.1",6,2022-11-29,18.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"7",7,2022-11-30,5.4,41.4,88.7,58.3,68,50.5,54.5,33.2,41.8,64,71.9,65.4,13.4
"8",8,2022-12-01,8.2,70.1,28,45.5,72,50.4,78.7,43.8,3.2,41.9,84.4,54.7,51.9
"81",8,2022-12-01,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"8.1",8,2022-12-01,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"9",9,2022-12-02,18.1,42.4,42.8,29.8,61.5,31.6,47.2,63.1,32.6,76,56.6,40.7,62.4
"10",10,2022-12-04,1.3,18,68.2,42.1,60.7,38.8,95.4,40.6,52.2,66.8,61,35.2,50.4
"11",11,2022-12-09,20.4,58,1.5,14.3,61.4,47.2,32.9,52.7,40.8,50.3,66.8,16.4,49.4
"12",12,2022-12-11,16.3,59.9,39,57.1,75.6,32.7,79.5,51.2,28.8,38.1,63.6,64.2,74.3
"13",13,2022-12-12,21.8,49.8,27,40,62.1,30.2,56.8,54.3,64.8,69.4,72.5,66.5,68.3
"14",14,2022-12-13,20,54.3,34.5,39.1,61.3,56,57.8,80.9,27.7,41.6,72.3,31.6,66.2
"15",15,2022-12-14,10.2,29.6,81.7,41.7,38.8,82.2,14,46.3,22.4,24.5,29.4,68.7,12.1
"16",16,2022-12-16,8.5,59.4,41,71.4,46,30.4,21.5,43.9,61,43.2,42.2,77.7,53.1
"17",17,2022-12-17,19.9,54.7,57.3,52.2,42,63,74.1,47.2,62.4,52.6,55,34,45
"18",18,2022-12-18,29.5,74.8,32.3,80.2,29.6,51.2,55.5,29.4,54,41.8,26.2,84.8,67.1
"19",19,2022-12-19,18.3,70.2,74.8,76.4,42.8,46,63.9,38.6,30.8,86.6,43.9,17.9,41.2
"20",20,2022-12-21,1.2,40.4,39.6,55.6,51.2,53.1,45.9,62.3,57.7,53,62.7,39.5,65.1
