question_id,time_stamp,time_spent_min,misc_1a,misc_1b,misc_1c,misc_2a,misc_2b,misc_3a,misc_3b,misc_3c,misc_4a,misc_4b,misc_5a,misc_6a,seq
1,11/24/22,6.3,17.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2,11/26/22,3.6,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
2,11/26/22,3.6,-1,76.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
3,11/27/22,15.8,-1,-1,90.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
4,12/1/22,8.6,54,63.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
5,12/3/22,15.7,63.3,69.8,56.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,6
6,12/4/22,15.4,-1,-1,-1,70.7,-1,-1,-1,-1,-1,-1,-1,-1,7
7,12/5/22,12.7,-1,-1,-1,-1,27.8,-1,-1,-1,-1,-1,-1,-1,8
8,12/10/22,2.9,-1,-1,-1,21.7,10,-1,-1,-1,-1,-1,-1,-1,9
9,12/12/22,4.5,-1,-1,-1,-1,-1,48.2,-1,-1,-1,-1,-1,-1,10
10,12/13/22,5.7,-1,-1,-1,-1,-1,-1,75.9,-1,-1,-1,-1,-1,11
11,12/14/22,10.1,-1,-1,-1,-1,-1,-1,-1,65.1,-1,-1,-1,-1,12
12,12/16/22,18.9,-1,-1,-1,-1,-1,58.6,29.6,-1,-1,-1,-1,-1,13
12,12/16/22,18.9,-1,-1,-1,-1,-1,78.8,91.5,-1,-1,-1,-1,-1,14
13,12/17/22,16.2,-1,-1,-1,-1,-1,44,46.2,38,-1,-1,-1,-1,15
14,12/20/22,7.8,-1,-1,-1,-1,-1,-1,-1,-1,32.3,-1,-1,-1,16
15,12/21/22,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.6,-1,-1,17
16,12/23/22,5.5,-1,-1,-1,-1,-1,-1,-1,-1,59.6,63.8,-1,-1,18
17,12/24/22,18.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51.9,-1,19
18,12/25/22,18.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.1,20
19,12/27/22,8.4,38.4,-1,-1,67.4,-1,-1,-1,-1,-1,-1,-1,-1,21
20,12/30/22,18.2,12.5,63.1,-1,58.1,-1,-1,-1,-1,-1,-1,-1,-1,22
21,12/31/22,1.9,83.6,56.2,-1,46.1,55.5,-1,-1,-1,-1,-1,-1,-1,23
22,1/1/23,19.9,41.6,33.3,7.2,47.1,-1,-1,-1,-1,-1,-1,-1,-1,24
23,1/5/23,2.7,43.7,-1,-1,35.5,34.1,-1,-1,-1,-1,-1,-1,-1,25
23,1/5/23,2.7,92.8,-1,-1,91.8,85.9,-1,-1,-1,-1,-1,-1,-1,26
24,1/8/23,4.3,-1,-1,-1,21.4,-1,60.7,-1,-1,-1,-1,-1,-1,27
25,1/9/23,18.4,-1,-1,-1,50.3,79.8,76.2,-1,-1,-1,-1,-1,-1,28
26,1/10/23,17.3,-1,-1,-1,38.9,-1,43,58.9,-1,-1,-1,-1,-1,29
27,1/11/23,4.7,-1,-1,-1,39.7,46.7,86,73.9,-1,-1,-1,-1,-1,30
28,1/15/23,6.7,-1,-1,-1,48.1,-1,65,29.7,15,-1,-1,-1,-1,31
29,1/16/23,7.8,-1,-1,-1,56.9,75.7,48.4,51,64.7,-1,-1,-1,-1,32
30,1/18/23,7.6,-1,-1,-1,-1,-1,18.2,-1,-1,48.9,-1,-1,-1,33
30,1/18/23,7.6,-1,-1,-1,-1,-1,98.4,-1,-1,76.1,-1,-1,-1,34
31,1/19/23,17.3,-1,-1,-1,-1,-1,43,-1,-1,41.1,68.6,-1,-1,35
32,1/20/23,8,-1,-1,-1,-1,-1,61.4,80.1,-1,62.4,-1,-1,-1,36
33,1/23/23,17.2,-1,-1,-1,-1,-1,65.3,27.1,-1,52.6,57.5,-1,-1,37
34,1/25/23,7.1,-1,-1,-1,-1,-1,48,74.7,26.9,80.4,-1,-1,-1,38
34,1/25/23,7.1,-1,-1,-1,-1,-1,88.5,85.9,89.3,71.1,-1,-1,-1,39
35,1/27/23,16.7,-1,-1,-1,-1,-1,64.2,34.6,45.8,32.5,53.9,-1,-1,40
35,1/27/23,16.7,-1,-1,-1,-1,-1,81.1,87.7,72.6,64.6,90.5,-1,-1,41
36,1/31/23,9.8,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,21.1,-1,42
37,2/3/23,10.6,-1,-1,-1,-1,-1,-1,-1,-1,33.5,22,38.9,-1,43
38,2/7/23,18.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44.7,51,44
38,2/7/23,18.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88.6,86.1,45
39,2/8/23,12.4,47.1,-1,-1,31.2,-1,23.3,-1,-1,-1,-1,-1,-1,46
40,2/9/23,10.4,71.4,3.3,-1,70.8,-1,37.7,-1,-1,-1,-1,-1,-1,47
40,2/9/23,10.4,84.3,87.7,-1,96.7,-1,64.3,-1,-1,-1,-1,-1,-1,48
41,2/12/23,15.1,27.8,34.1,-1,96,68,76.1,-1,-1,-1,-1,-1,-1,49
42,2/13/23,6.7,24,62.4,-1,39.2,49.7,35.2,45.4,-1,-1,-1,-1,-1,50
43,2/15/23,14.1,65.2,69.3,-1,53.2,62,23.7,34.5,-1,27.5,-1,-1,-1,51
44,2/16/23,11.1,54.2,49.9,-1,41.4,77,40.9,49.4,-1,50.7,25.3,-1,-1,52
44,2/16/23,11.1,70.7,91.8,-1,75.4,84.6,85.6,62.3,-1,84.9,73.7,-1,-1,53
45,2/18/23,10.4,32,53.6,-1,49.9,-1,57.5,-1,-1,51.5,-1,9.5,-1,54
45,2/18/23,10.4,79.6,75.6,-1,71.4,-1,63.1,-1,-1,78.4,-1,82.9,-1,55
46,2/19/23,6.5,48,60.2,-1,29.4,71,35.1,-1,-1,68.2,49.1,40.7,-1,56
47,2/20/23,18.4,67,-1,-1,32.8,40.4,33.5,43.8,-1,62.9,-1,42.7,37.8,57
48,2/24/23,15.2,50.9,92.8,-1,47.4,-1,-1,48.2,39,-1,29.4,53.2,64.6,58
49,2/26/23,19.8,33.7,14.6,41.6,45.5,47.5,52.5,91.8,-1,20.7,-1,66.4,45.3,59
50,2/27/23,15.8,54.7,42.9,30.4,71.5,47.4,52.8,49.6,36.1,45.9,18.6,63.8,81,60
